pos	0.803740195856018	0.5563141862605431	0.6210817909445511
lemma	0.6973268333426473	0.6528102533077783	0.6424456080333968
stem	0.7012811147229927	0.6481415629802935	0.6460222244709183
isSuperlative	0.8127535280939799	0.5402126180260604	0.6067341019753237
isComparative	0.8128386551114927	0.5391838114416981	0.6059054614673287
lastFourNegative	0.8069233010283611	0.5407941173998302	0.6073692865214676
positiveScore	0.8068100043969846	0.5417868411379775	0.608162714917441
negativeScore	0.8117578465219193	0.5406909384720264	0.6068740817174579
nominalSubject	0.8048717414097197	0.5415631875326813	0.6080696652547432
directObject	0.809007497036483	0.5404312020205154	0.6066051560057125
indirectObject	0.8128386551114927	0.5391838114416981	0.6059054614673287
copula	0.8128386551114927	0.5391838114416981	0.6059054614673287
conjunction	0.8128386551114927	0.5391838114416981	0.6059054614673287
coordinatingConjunction	0.8064655186713546	0.5423012444301585	0.6084960999243442
synonym1	0.7026016022921008	0.6205829696093341	0.6317513629944419
synonym2	0.7109529277155193	0.6105075272148525	0.6335635821056882
hypernymParent	0.7548565859701135	0.6143827048158611	0.6512303237412572
hypernymGrandparent	0.7683473838986171	0.576659502972448	0.628519196921484
antonym	0.7928141967306032	0.5477956663862548	0.6097802310240134
isStopWord	0.8116514094663844	0.5416836622101737	0.60766059182212
isFrequentAte	0.7982819202206165	0.542920913567309	0.6075280171734628
