pos	0.801099124114346	0.5801568356310779	0.6218245319019994
lemma	0.6881597386372306	0.6610314326440724	0.6364925357836207
stem	0.6917644508351155	0.6635694501594832	0.6439861078351116
isSuperlative	0.7768925712563682	0.5610391934394241	0.5993063532192145
isComparative	0.7768925712563682	0.5610391934394241	0.5993063532192145
lastFourNegative	0.7770846453131511	0.5637665128873726	0.6020794327967421
positiveScore	0.7759072896113527	0.5622212265363508	0.5997630858746513
negativeScore	0.7768925712563682	0.5610391934394241	0.5993063532192145
nominalSubject	0.7800597309641931	0.5643736525060786	0.6008484057411368
directObject	0.7679442650159407	0.5602767131201684	0.597446253923426
indirectObject	0.7768925712563682	0.5610391934394241	0.5993063532192145
copula	0.7768925712563682	0.5610391934394241	0.5993063532192145
conjunction	0.7773268676140939	0.5622212265363508	0.6002601711755462
coordinatingConjunction	0.7768925712563682	0.5610391934394241	0.5993063532192145
synonym1	0.6982090449703456	0.6406460466471772	0.6353995614881058
synonym2	0.6999987553229099	0.630009811271321	0.6304701523823582
hypernymParent	0.7109202859927498	0.6341710654540896	0.6462638244079887
hypernymGrandparent	0.7297601280909697	0.6222237846874723	0.6439436492108027
antonym	0.7649831343187309	0.563661206571647	0.596752555056354
isStopWord	0.7771027203418429	0.5654718175528992	0.6023650057485476
isFrequentAte	0.7577980622003594	0.5678788878446974	0.6026821571895566
